tweet,index
Secretaria Municipal de Saúde alerta para o prazo final da campanha de vacinação para a faixa etária de 10 a 14 anos.https://t.co/gr6vZQ1uzQ,1364
"#saúde I Em 2024, o Ministério da Saúde deu início à estratégia inédita de vacinação contra o vírus da dengue.https://t.co/ALJqOoZTvS",1374
"A participação das escolas da rede pública no Programa Nacional de Vacinação vai ser obrigatória. No caso das particulares, a integração é facultativa.O programa permite, ainda, a vacinação de crianças e jovens não matriculados e também a de adultos, a depender da… https://t.co/nawQSX8cRP",1384
💉 Cruzeiro do Sul avança na vacinação. Começou agora há pouco a vacinação da população acima de 18 anos! 🎉 Hoje é um dia histórico para nosso Acre! Parabéns ao nosso prefeito Zequinha Lima e a todos os profissionais da saúde. A vacinação está sendo na  @aabbczs (AABB). Abraço!,1387
"[#H1N1] A campanha de vacinação contra a influenza foi ampliada para toda a população alagoana acima dos 6 meses de idade.Em Alagoas, apenas 45% da população se vacinou contra a gripe.📲 Confira já nossa última matéria: https://t.co/X4uy6ko1XQ",1399
"A vacina é um avanço importante para combater a doença, mas as medidas de prevenção continuam sendo fundamentais para impedir os casos de dengue. Procure um posto de vacinação, proteja quem você ama.",1411
Campanha de vacinação atende 170 animais; saiba quando será a próximahttps://t.co/xMlXPSNPat,1425
"Vacinação em massa contra dengue não ocorrerá em 2025, diz ministra https://t.co/ZRnTtE9Jm3(Foto: Genilton Vieira / IOC) https://t.co/mBr56XAGHl",1436
Campanha de vacinação segue até este sábado (25) em shoppings de São Luíshttps://t.co/O9sJLMVywe(Foto: Divulgação / Secom),1437
"Hildebrando Neto te espera no #ParaíbaComunidade deste domingo (13)! Entre os destaques, tem um bate papo bem importante sobre vacinação das crianças com a médica pediatra Ana Escobar. Vale a pena acompanhar! 📺 💉 https://t.co/qq37kpsoLd",1448
Lamento profundamente a recusa dos idosos em uma imunização estudada e comprovada por cientistas do mundo todo. Pregar dúvidas sobre a vacinação tem uma responsabilidade social de impacto forte na saúde coletiva e no nosso futuro. Vacina SIM! Viva o SUS! https://t.co/5dPnRKJMER,1456
